,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-12-12,87.74290155423601,81.41772114227722,93.32066333479361,87.74290155423601,87.74290155423601,-0.3953043153742286,-0.3953043153742286,-0.3953043153742286,-0.3953043153742286,-0.3953043153742286,-0.3953043153742286,0.0,0.0,0.0,87.34759723886178
1,2022-12-13,87.89519580000284,81.85483167038052,93.60892568578771,87.89519580000284,87.89519580000284,-0.5231811972956726,-0.5231811972956726,-0.5231811972956726,-0.5231811972956726,-0.5231811972956726,-0.5231811972956726,0.0,0.0,0.0,87.37201460270717
2,2022-12-14,88.04749004576966,81.0156541251012,93.11299978946654,88.04749004576966,88.04749004576966,-0.7511751080462367,-0.7511751080462367,-0.7511751080462367,-0.7511751080462367,-0.7511751080462367,-0.7511751080462367,0.0,0.0,0.0,87.29631493772342
3,2022-12-15,88.19978429153649,81.2462622371586,93.24615891317752,88.19978429153649,88.19978429153649,-0.6916482044735152,-0.6916482044735152,-0.6916482044735152,-0.6916482044735152,-0.6916482044735152,-0.6916482044735152,0.0,0.0,0.0,87.50813608706298
4,2022-12-16,88.35207853730333,82.24039804904608,94.19492838308852,88.35207853730333,88.35207853730333,-0.19672714376048248,-0.19672714376048248,-0.19672714376048248,-0.19672714376048248,-0.19672714376048248,-0.19672714376048248,0.0,0.0,0.0,88.15535139354284
5,2022-12-19,88.8089612746038,82.4106651358013,94.23394164790683,88.8089612746038,88.8089612746038,-0.39530431537591704,-0.39530431537591704,-0.39530431537591704,-0.39530431537591704,-0.39530431537591704,-0.39530431537591704,0.0,0.0,0.0,88.41365695922788
6,2022-12-20,88.96125552037063,82.52527162596664,93.87358848378105,88.96125552037063,88.96125552037063,-0.5231811972960594,-0.5231811972960594,-0.5231811972960594,-0.5231811972960594,-0.5231811972960594,-0.5231811972960594,0.0,0.0,0.0,88.43807432307457
7,2022-12-21,89.11354976613745,82.90261001354445,94.07836468049834,89.11354976613745,89.11354976613745,-0.7511751080462115,-0.7511751080462115,-0.7511751080462115,-0.7511751080462115,-0.7511751080462115,-0.7511751080462115,0.0,0.0,0.0,88.36237465809124
8,2022-12-22,89.26584401190429,82.67788813825024,94.45502223354092,89.26584401190429,89.26584401190429,-0.691648204472805,-0.691648204472805,-0.691648204472805,-0.691648204472805,-0.691648204472805,-0.691648204472805,0.0,0.0,0.0,88.5741958074315
9,2022-12-23,89.41813826157,83.62832065228285,95.52322314908751,89.41813826157,89.41813826157,-0.1967271437604283,-0.1967271437604283,-0.1967271437604283,-0.1967271437604283,-0.1967271437604283,-0.1967271437604283,0.0,0.0,0.0,89.22141111780957
10,2022-12-27,90.02731526023278,83.64260042715308,95.35550234365175,90.02731526023278,90.02731526023278,-0.5231811972959431,-0.5231811972959431,-0.5231811972959431,-0.5231811972959431,-0.5231811972959431,-0.5231811972959431,0.0,0.0,0.0,89.50413406293684
11,2022-12-28,90.17960950989848,84.00360926934016,94.99885366992476,90.17960950989848,90.17960950989848,-0.7511751080466611,-0.7511751080466611,-0.7511751080466611,-0.7511751080466611,-0.7511751080466611,-0.7511751080466611,0.0,0.0,0.0,89.42843440185182
12,2022-12-29,90.3319037595642,83.6074452765166,95.31710825082769,90.3319037595642,90.3319037595642,-0.6916482044730592,-0.6916482044730592,-0.6916482044730592,-0.6916482044730592,-0.6916482044730592,-0.6916482044730592,0.0,0.0,0.0,89.64025555509114
13,2022-12-30,90.4841980092299,84.66965234229325,96.16548254523502,90.4841980092299,90.4841980092299,-0.19672714375784792,-0.19672714375784792,-0.19672714375784792,-0.19672714375784792,-0.19672714375784792,-0.19672714375784792,0.0,0.0,0.0,90.28747086547205
14,2023-01-03,91.09337500789269,84.6726431757187,96.58323122668871,91.09337500789269,91.09337500789269,-0.523181197295936,-0.523181197295936,-0.523181197295936,-0.523181197295936,-0.523181197295936,-0.523181197295936,0.0,0.0,0.0,90.57019381059675
15,2023-01-04,91.2456692575584,84.51794074162504,96.06084618856318,91.2456692575584,91.2456692575584,-0.7511751080466358,-0.7511751080466358,-0.7511751080466358,-0.7511751080466358,-0.7511751080466358,-0.7511751080466358,0.0,0.0,0.0,90.49449414951177
16,2023-01-05,91.39796350722409,85.01852796880938,96.41159537952352,91.39796350722409,91.39796350722409,-0.6916482044721579,-0.6916482044721579,-0.6916482044721579,-0.6916482044721579,-0.6916482044721579,-0.6916482044721579,0.0,0.0,0.0,90.70631530275193
17,2023-01-06,91.55025770702547,85.30502215879923,97.38195778378278,91.55025770702547,91.55025770702547,-0.19672714375779385,-0.19672714375779385,-0.19672714375779385,-0.19672714375779385,-0.19672714375779385,-0.19672714375779385,0.0,0.0,0.0,91.35353056326767
18,2023-01-09,92.00714030642955,85.9362247136206,97.16567229456555,92.00714030642955,92.00714030642955,-0.3953043153776273,-0.3953043153776273,-0.3953043153776273,-0.3953043153776273,-0.3953043153776273,-0.3953043153776273,0.0,0.0,0.0,91.61183599105192
19,2023-01-10,92.15943450623092,85.53525475514861,97.43240688226959,92.15943450623092,92.15943450623092,-0.5231811972957111,-0.5231811972957111,-0.5231811972957111,-0.5231811972957111,-0.5231811972957111,-0.5231811972957111,0.0,0.0,0.0,91.63625330893521
20,2023-01-11,92.31172870603228,85.54158347907848,97.37055617310044,92.31172870603228,92.31172870603228,-0.7511751080456796,-0.7511751080456796,-0.7511751080456796,-0.7511751080456796,-0.7511751080456796,-0.7511751080456796,0.0,0.0,0.0,91.5605535979866
21,2023-01-12,92.46402290583364,85.72984372577604,97.70899936951223,92.46402290583364,92.46402290583364,-0.6916482044733765,-0.6916482044733765,-0.6916482044733765,-0.6916482044733765,-0.6916482044733765,-0.6916482044733765,0.0,0.0,0.0,91.77237470136026
22,2023-01-13,92.61631710563499,86.44306626807702,98.26116524203196,92.61631710563499,92.61631710563499,-0.1967271437577395,-0.1967271437577395,-0.1967271437577395,-0.1967271437577395,-0.1967271437577395,-0.1967271437577395,0.0,0.0,0.0,92.41958996187725
23,2023-01-17,93.22549390484045,86.46379772843363,98.76988752599449,93.22549390484045,93.22549390484045,-0.5231811972957038,-0.5231811972957038,-0.5231811972957038,-0.5231811972957038,-0.5231811972957038,-0.5231811972957038,0.0,0.0,0.0,92.70231270754475
24,2023-01-18,93.37778810464182,87.07122402861326,98.47998657232424,93.37778810464182,93.37778810464182,-0.7511751080456545,-0.7511751080456545,-0.7511751080456545,-0.7511751080456545,-0.7511751080456545,-0.7511751080456545,0.0,0.0,0.0,92.62661299659617
25,2023-01-19,93.53008121855082,87.28862406583757,98.64547138603793,93.53008121855082,93.53008121855082,-0.6916482044726663,-0.6916482044726663,-0.6916482044726663,-0.6916482044726663,-0.6916482044726663,-0.6916482044726663,0.0,0.0,0.0,92.83843301407815
26,2023-01-20,93.68237433245982,87.07615483931899,99.27918102910604,93.68237433245982,93.68237433245982,-0.19672714375642222,-0.19672714375642222,-0.19672714375642222,-0.19672714375642222,-0.19672714375642222,-0.19672714375642222,0.0,0.0,0.0,93.4856471887034
27,2023-01-23,94.1392536741868,87.95714860386698,99.12620446986983,94.1392536741868,94.1392536741868,-0.3953043153749,-0.3953043153749,-0.3953043153749,-0.3953043153749,-0.3953043153749,-0.3953043153749,0.0,0.0,0.0,93.7439493588119
28,2023-01-24,94.29154678809579,87.60830686211109,99.72700538872593,94.29154678809579,94.29154678809579,-0.5231811972956968,-0.5231811972956968,-0.5231811972956968,-0.5231811972956968,-0.5231811972956968,-0.5231811972956968,0.0,0.0,0.0,93.76836559080009
29,2023-01-25,94.44383990200478,87.80079509667758,99.67062954700226,94.44383990200478,94.44383990200478,-0.7511751080461039,-0.7511751080461039,-0.7511751080461039,-0.7511751080461039,-0.7511751080461039,-0.7511751080461039,0.0,0.0,0.0,93.69266479395868
30,2023-01-26,94.59613301591378,88.03784491718326,100.12825133582709,94.59613301591378,94.59613301591378,-0.6916482044729206,-0.6916482044729206,-0.6916482044729206,-0.6916482044729206,-0.6916482044729206,-0.6916482044729206,0.0,0.0,0.0,93.90448481144085
31,2023-01-27,94.74842612982276,88.37414039334627,100.56067957206628,94.74842612982276,94.74842612982276,-0.19672714376203923,-0.19672714376203923,-0.19672714376203923,-0.19672714376203923,-0.19672714376203923,-0.19672714376203923,0.0,0.0,0.0,94.55169898606073
